"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","GCA_000008565.1","GCA_001638825.1","GCA_008329785.1","GCA_011604805.1","GCA_011604825.1","GCA_020546685.1","GCA_021378295.1","GCA_024138735.1"
"DXG80_15405","","multifunctional 2',3'-cyclic-nucleotide 2'-phosphodiesterase/5'-nucleotidase/3'-nucleotidase","7","7","1","2","91","2","91","","1574","1574","1574","","A2G07_13610.p01","a6679ee1dd99a76d4f263da36fcf6004_11926","689a1f7569cd370648666ad3906989ad_11360","e7eb4eb1fba968f75f75040ad2de8570_10108","5974397fafb4265a64d121638449c96c_10714","DRO_A0018.p01","5b1dec001b64d68f08bc514628990a75_10727"
"E5E91_14585","","2Fe-2S iron-sulfur cluster binding domain-containing protein","7","7","1","2","293","2","238","","1454","1454","1454","","A2G07_14365.p01","a6679ee1dd99a76d4f263da36fcf6004_11124","689a1f7569cd370648666ad3906989ad_10725","e7eb4eb1fba968f75f75040ad2de8570_10746","5974397fafb4265a64d121638449c96c_11357","DRO_A0179.p01","5b1dec001b64d68f08bc514628990a75_11635"
"MSS93_15815","","ABC transporter substrate-binding protein","7","7","1","2","261","2","270","","1748","1748","1748","","A2G07_14525.p01","a6679ee1dd99a76d4f263da36fcf6004_11250","689a1f7569cd370648666ad3906989ad_10600","e7eb4eb1fba968f75f75040ad2de8570_10871","5974397fafb4265a64d121638449c96c_11484","DRO_A0211.p01","5b1dec001b64d68f08bc514628990a75_11503"
"dhaK","","dihydroxyacetone kinase subunit DhaK","7","7","1","3","104","3","130","","998","998","998","","A2G07_15055.p01","a6679ee1dd99a76d4f263da36fcf6004_12379","689a1f7569cd370648666ad3906989ad_12322","e7eb4eb1fba968f75f75040ad2de8570_11896","5974397fafb4265a64d121638449c96c_12453","DRO_B0055.p01","5b1dec001b64d68f08bc514628990a75_12704"
"MSS93_16750","","amino acid ABC transporter substrate-binding protein","7","7","1","3","20","3","20","","770","770","770","","A2G07_15665.p01","a6679ee1dd99a76d4f263da36fcf6004_12278","689a1f7569cd370648666ad3906989ad_12223","e7eb4eb1fba968f75f75040ad2de8570_11801","5974397fafb4265a64d121638449c96c_12554","DRO_B0083.p01","5b1dec001b64d68f08bc514628990a75_12216"
"ptsP","","phosphoenolpyruvate--protein phosphotransferase","7","7","1","3","17","3","17","","2480","2480","2480","","A2G07_15680.p01","a6679ee1dd99a76d4f263da36fcf6004_12290","689a1f7569cd370648666ad3906989ad_12235","e7eb4eb1fba968f75f75040ad2de8570_11811","5974397fafb4265a64d121638449c96c_12542","DRO_B0080.p01","5b1dec001b64d68f08bc514628990a75_12204"
"HAV35_12695","","ABC transporter permease","7","7","1","1","1797","1","1068","","911","914","912","","A2G07_12290.p01","a6679ee1dd99a76d4f263da36fcf6004_8431","689a1f7569cd370648666ad3906989ad_3209","e7eb4eb1fba968f75f75040ad2de8570_9603","5974397fafb4265a64d121638449c96c_1014","DRO_0250.p01","5b1dec001b64d68f08bc514628990a75_6056"
"E5E91_03080","","hypothetical protein","7","7","1","1","2132","1","1403","","554","833","755","DR_0591.p01","A2G07_10530.p01","a6679ee1dd99a76d4f263da36fcf6004_9838","","e7eb4eb1fba968f75f75040ad2de8570_8284","5974397fafb4265a64d121638449c96c_2416","DRO_0591.p01","5b1dec001b64d68f08bc514628990a75_7484"
"HAV35_10595","","DUF839 domain-containing protein","7","7","1","1","2195","1","1466","","1439","1448","1442","","A2G07_10205.p01","a6679ee1dd99a76d4f263da36fcf6004_10097","689a1f7569cd370648666ad3906989ad_4795","e7eb4eb1fba968f75f75040ad2de8570_8039","5974397fafb4265a64d121638449c96c_2683","DRO_0653.p01","5b1dec001b64d68f08bc514628990a75_7749"
"HAV23_06655","","Na /H  antiporter subunit E","7","7","1","1","2281","1","1552","","488","494","492","","A2G07_09760.p01","a6679ee1dd99a76d4f263da36fcf6004_10472","689a1f7569cd370648666ad3906989ad_5153","e7eb4eb1fba968f75f75040ad2de8570_7683","5974397fafb4265a64d121638449c96c_3056","DRO_0745.p01","5b1dec001b64d68f08bc514628990a75_8162"
"trpE","","anthranilate synthase component I","7","7","1","1","902","1","902","","1421","1448","1424","DR_1791.p01","A2G07_04640.p01","a6679ee1dd99a76d4f263da36fcf6004_3977","689a1f7569cd370648666ad3906989ad_9181","e7eb4eb1fba968f75f75040ad2de8570_3778","5974397fafb4265a64d121638449c96c_7206","DRO_1770.p01",""
"DRO_A0271","","ADP-ribose pyrophosphatase","7","7","1","2","202","2","339","","971","977","971","DR_A0273.p01","A2G07_14820.p01","a6679ee1dd99a76d4f263da36fcf6004_11490","689a1f7569cd370648666ad3906989ad_10368","","5974397fafb4265a64d121638449c96c_11720","DRO_A0271.p01","5b1dec001b64d68f08bc514628990a75_11252"
"DR_2015","","FAD-dependent oxidoreductase","7","7","1","1","686","1","686","","1265","1277","1266","DR_2015.p01","A2G07_03555.p01","a6679ee1dd99a76d4f263da36fcf6004_4863","689a1f7569cd370648666ad3906989ad_10071","e7eb4eb1fba968f75f75040ad2de8570_2903","5974397fafb4265a64d121638449c96c_8099","DRO_1989.p01",""
"metG","","methionine--tRNA ligase","7","7","1","1","1244","1","2211","","2045","2051","2045","DR_1433.p01","A2G07_06390.p01","a6679ee1dd99a76d4f263da36fcf6004_2558","","e7eb4eb1fba968f75f75040ad2de8570_5111","5974397fafb4265a64d121638449c96c_5781","DRO_1418.p01","5b1dec001b64d68f08bc514628990a75_289"
"A2G07_10115","","GNAT family N-acetyltransferase","7","7","1","1","2212","1","1483","","155","626","475","DR_0677.p01","A2G07_10115.p01","a6679ee1dd99a76d4f263da36fcf6004_10181","689a1f7569cd370648666ad3906989ad_4877","e7eb4eb1fba968f75f75040ad2de8570_7956","5974397fafb4265a64d121638449c96c_2765","","5b1dec001b64d68f08bc514628990a75_7833"
"E5E91_01500","","MFS transporter","7","7","1","","","","","","1220","1226","1220","DR_0290.p01","","a6679ee1dd99a76d4f263da36fcf6004_8594","689a1f7569cd370648666ad3906989ad_3366","e7eb4eb1fba968f75f75040ad2de8570_9450","5974397fafb4265a64d121638449c96c_1176","DRO_0287.p01","5b1dec001b64d68f08bc514628990a75_6211"
"DRO_1241","","aminopeptidase P family protein","7","7","1","1","1423","1","2032","","503","1049","971","DR_1246.p01","A2G07_07295.p01","a6679ee1dd99a76d4f263da36fcf6004_1838","","e7eb4eb1fba968f75f75040ad2de8570_5796","5974397fafb4265a64d121638449c96c_5058","DRO_1241.p01","5b1dec001b64d68f08bc514628990a75_10150"
"MSS93_00250","","hypothetical protein","7","7","1","1","1271","1","2184","","221","566","501","DR_1404.p01","A2G07_06525.p01","a6679ee1dd99a76d4f263da36fcf6004_2450","689a1f7569cd370648666ad3906989ad_7692","","5974397fafb4265a64d121638449c96c_5673","DRO_1391.p01","5b1dec001b64d68f08bc514628990a75_177"
"HAV23_15615","","molecular chaperone","7","7","1","3","95","3","121","","731","731","731","DR_B0062.p01","A2G07_15010.p01","a6679ee1dd99a76d4f263da36fcf6004_12342","689a1f7569cd370648666ad3906989ad_12285","","5974397fafb4265a64d121638449c96c_12490","DRO_B0065.p01","5b1dec001b64d68f08bc514628990a75_12740"
"MSS93_17550","","site-specific integrase","7","7","1","4","48","4","51","","710","710","710","","A2G07_15990.p01","a6679ee1dd99a76d4f263da36fcf6004_12669","689a1f7569cd370648666ad3906989ad_11875","e7eb4eb1fba968f75f75040ad2de8570_11623","5974397fafb4265a64d121638449c96c_12157","DRO_C0018.p01","5b1dec001b64d68f08bc514628990a75_12808"
"MSS93_01980","","cytochrome P450","7","7","1","1","969","1","2486","","1139","1337","1297","DR_1723.p01","A2G07_04975.p01","a6679ee1dd99a76d4f263da36fcf6004_3699","689a1f7569cd370648666ad3906989ad_8919","","5974397fafb4265a64d121638449c96c_6927","DRO_1702.p01","5b1dec001b64d68f08bc514628990a75_1419"
"DXG80_05170","","hypothetical protein","7","7","1","1","897","1","897","","209","794","710","DR_1795.p01","A2G07_04615.p01","a6679ee1dd99a76d4f263da36fcf6004_3996","689a1f7569cd370648666ad3906989ad_9203","e7eb4eb1fba968f75f75040ad2de8570_3757","5974397fafb4265a64d121638449c96c_7226","DRO_1775.p01",""
"MSS93_03480","","LD-carboxypeptidase","7","7","1","1","701","1","701","","362","1046","889","DR_2000.p01","A2G07_03630.p01","a6679ee1dd99a76d4f263da36fcf6004_4803","","e7eb4eb1fba968f75f75040ad2de8570_2958","5974397fafb4265a64d121638449c96c_8039","DRO_1974.p01","5b1dec001b64d68f08bc514628990a75_2516"
"DRO_2338","","potassium transporter KefB","7","7","1","1","331","1","331","","818","2033","1800","DR_2367.p01","A2G07_01740.p01","a6679ee1dd99a76d4f263da36fcf6004_6324","689a1f7569cd370648666ad3906989ad_1172","","5974397fafb4265a64d121638449c96c_9557","DRO_2338.p01","5b1dec001b64d68f08bc514628990a75_4000"
"A2G07_01485","","PAS domain-containing sensor histidine kinase","7","7","1","1","282","1","282","","1139","2312","2107","DR_2419.p01","A2G07_01485.p01","a6679ee1dd99a76d4f263da36fcf6004_6535","689a1f7569cd370648666ad3906989ad_1379","","5974397fafb4265a64d121638449c96c_9767","DRO_2392.p01","5b1dec001b64d68f08bc514628990a75_4221"
"tuf","","elongation factor Tu","7","7","1","1","651","1","651","","1217","1217","1217","DR_2050.p01","A2G07_03375.p01","a6679ee1dd99a76d4f263da36fcf6004_5014","689a1f7569cd370648666ad3906989ad_10215","e7eb4eb1fba968f75f75040ad2de8570_2766","","DRO_2025.p01","5b1dec001b64d68f08bc514628990a75_2702"
"HAV35_07390","","IS5-like element ISDra5 family transposase","7","7","1","","","","","","812","812","812","DR_1296.p01","","a6679ee1dd99a76d4f263da36fcf6004_2035","689a1f7569cd370648666ad3906989ad_7285","e7eb4eb1fba968f75f75040ad2de8570_5606","5974397fafb4265a64d121638449c96c_5256","DRO_1287.p01","5b1dec001b64d68f08bc514628990a75_10345"
"MSS93_17695","","IS5-like element ISDra5 family transposase","7","7","1","","","","","","812","812","812","DR_C0033.p01","","a6679ee1dd99a76d4f263da36fcf6004_12774","689a1f7569cd370648666ad3906989ad_11768","e7eb4eb1fba968f75f75040ad2de8570_11521","5974397fafb4265a64d121638449c96c_12213","DRO_C0033.p01","5b1dec001b64d68f08bc514628990a75_12923"
"group_3703","tnpB","transposase","7","7","1","1","1042","1","2413","","1226","1226","1226","DR_1651.p01","A2G07_05345.p01","a6679ee1dd99a76d4f263da36fcf6004_3405","689a1f7569cd370648666ad3906989ad_8626","e7eb4eb1fba968f75f75040ad2de8570_4307","5974397fafb4265a64d121638449c96c_6630","DRO_1627.p01",""
"E5E91_11650","","tRNA-Gly","7","7","1","1","443","1","443","","75","75","75","","A2G07_02315.r01","a6679ee1dd99a76d4f263da36fcf6004_5862","689a1f7569cd370648666ad3906989ad_730","e7eb4eb1fba968f75f75040ad2de8570_1954","5974397fafb4265a64d121638449c96c_9088","DRO_tRNA22.r01","5b1dec001b64d68f08bc514628990a75_3503"
"E5E91_13350","","tRNA-Gly","7","7","1","1","132","1","132","","75","75","75","","A2G07_00700.r01","a6679ee1dd99a76d4f263da36fcf6004_7172","689a1f7569cd370648666ad3906989ad_2002","e7eb4eb1fba968f75f75040ad2de8570_707","5974397fafb4265a64d121638449c96c_10392","DRO_tRNA20.r01","5b1dec001b64d68f08bc514628990a75_4828"
"HAV35_12670","","tRNA-Gly","7","7","1","1","1800","1","1071","","75","75","75","","A2G07_12265.r01","a6679ee1dd99a76d4f263da36fcf6004_8447","689a1f7569cd370648666ad3906989ad_3225","e7eb4eb1fba968f75f75040ad2de8570_9586","5974397fafb4265a64d121638449c96c_1030","DRO_tRNA4.r01","5b1dec001b64d68f08bc514628990a75_6072"
"A2G07_13160","","diguanylate cyclase","7","7","1","2","3","2","3","","1601","1601","1601","DR_A0297.p01","A2G07_13160.p01","a6679ee1dd99a76d4f263da36fcf6004_11573","689a1f7569cd370648666ad3906989ad_11720","","5974397fafb4265a64d121638449c96c_11804","DRO_A0289.p01","5b1dec001b64d68f08bc514628990a75_11172"
"E5E91_15565","","IS4-like element ISDra1 family transposase","7","7","1","3","148","3","89","","983","983","983","DR_B0005.p01","A2G07_15295.p01","a6679ee1dd99a76d4f263da36fcf6004_12575","689a1f7569cd370648666ad3906989ad_11952","e7eb4eb1fba968f75f75040ad2de8570_12066","5974397fafb4265a64d121638449c96c_12260","","5b1dec001b64d68f08bc514628990a75_12494"
"DRO_A0006","","cyclase","7","7","1","2","80","2","80","","590","806","739","DR_A0006.p01","A2G07_13550.p01","a6679ee1dd99a76d4f263da36fcf6004_11878","689a1f7569cd370648666ad3906989ad_11406","","5974397fafb4265a64d121638449c96c_10667","DRO_A0006.p01","5b1dec001b64d68f08bc514628990a75_10785"
"DRO_A0010","","DNA-binding response regulator","7","7","1","2","83","2","83","","365","635","586","DR_A0010.p01","A2G07_13570.p01","a6679ee1dd99a76d4f263da36fcf6004_11894","689a1f7569cd370648666ad3906989ad_11392","","5974397fafb4265a64d121638449c96c_10683","DRO_A0010.p01","5b1dec001b64d68f08bc514628990a75_10761"
"HAV35_15475","","IS4 family transposase","7","7","1","3","100","3","126","","983","983","983","DR_B0057.p01","A2G07_15035.p01","a6679ee1dd99a76d4f263da36fcf6004_12362","689a1f7569cd370648666ad3906989ad_12305","e7eb4eb1fba968f75f75040ad2de8570_11879","5974397fafb4265a64d121638449c96c_12470","","5b1dec001b64d68f08bc514628990a75_12722"
"DRO_A0291","","copper resistance protein CopC","7","7","1","2","5","2","5","","419","425","421","DR_A0299.p01","A2G07_13170.p01","a6679ee1dd99a76d4f263da36fcf6004_11581","689a1f7569cd370648666ad3906989ad_11712","","5974397fafb4265a64d121638449c96c_11812","DRO_A0291.p01","5b1dec001b64d68f08bc514628990a75_11164"
"HAV35_13525","","hypothetical protein","7","7","1","2","117","2","117","","140","596","496","DR_A0051.p01","A2G07_13745.p01","","689a1f7569cd370648666ad3906989ad_11234","e7eb4eb1fba968f75f75040ad2de8570_10233","5974397fafb4265a64d121638449c96c_10849","DRO_A0050.p01","5b1dec001b64d68f08bc514628990a75_10608"
"A2G07_14160","","ABC transporter permease","7","7","1","2","333","2","198","","1124","1454","1396","DR_A0136.p01","A2G07_14160.p01","a6679ee1dd99a76d4f263da36fcf6004_10955","689a1f7569cd370648666ad3906989ad_10882","e7eb4eb1fba968f75f75040ad2de8570_10587","5974397fafb4265a64d121638449c96c_11190","","5b1dec001b64d68f08bc514628990a75_11808"
"murQ","","N-acetylmuramic acid 6-phosphate etherase","7","7","1","2","258","2","273","","152","917","807","","A2G07_14540.p01","a6679ee1dd99a76d4f263da36fcf6004_11262","689a1f7569cd370648666ad3906989ad_10588","e7eb4eb1fba968f75f75040ad2de8570_10883","5974397fafb4265a64d121638449c96c_11496","DRO_A0214.p01","5b1dec001b64d68f08bc514628990a75_11489"
"MSS93_15780","","hypothetical protein","7","7","1","2","256","2","275","","227","563","467","","A2G07_14550.p01","a6679ee1dd99a76d4f263da36fcf6004_11270","689a1f7569cd370648666ad3906989ad_10580","e7eb4eb1fba968f75f75040ad2de8570_10891","5974397fafb4265a64d121638449c96c_11504","DRO_A0216.p01","5b1dec001b64d68f08bc514628990a75_11479"
"E5E91_15020","","hypothetical protein","7","7","1","2","207","2","344","","941","2036","1860","DR_A0266.p01","A2G07_14795.p01","a6679ee1dd99a76d4f263da36fcf6004_11470","","e7eb4eb1fba968f75f75040ad2de8570_11088","5974397fafb4265a64d121638449c96c_11700","DRO_A0266.p01","5b1dec001b64d68f08bc514628990a75_11276"
"DRO_A0290","","hypothetical protein","7","7","1","2","4","2","4","","617","749","730","DR_A0298.p01","A2G07_13165.p01","a6679ee1dd99a76d4f263da36fcf6004_11577","689a1f7569cd370648666ad3906989ad_11716","","5974397fafb4265a64d121638449c96c_11808","DRO_A0290.p01","5b1dec001b64d68f08bc514628990a75_11168"
"DRO_2190","","TerD family protein","7","7","1","1","479","1","479","","818","1142","1049","","A2G07_02495.p01","a6679ee1dd99a76d4f263da36fcf6004_5723","689a1f7569cd370648666ad3906989ad_588","e7eb4eb1fba968f75f75040ad2de8570_2095","5974397fafb4265a64d121638449c96c_8948","DRO_2190.p01","5b1dec001b64d68f08bc514628990a75_3371"
"A2G07_05750","","YkgJ family cysteine cluster protein","7","7","1","1","1121","1","2334","","641","761","740","","A2G07_05750.p01","a6679ee1dd99a76d4f263da36fcf6004_3089","689a1f7569cd370648666ad3906989ad_8304","e7eb4eb1fba968f75f75040ad2de8570_4620","5974397fafb4265a64d121638449c96c_6311","DRO_1546.p01","5b1dec001b64d68f08bc514628990a75_804"
"DXG80_14855","","ABC transporter ATP-binding protein","7","7","1","2","196","2","333","","197","743","648","","A2G07_14850.p01","a6679ee1dd99a76d4f263da36fcf6004_11518","689a1f7569cd370648666ad3906989ad_10340","e7eb4eb1fba968f75f75040ad2de8570_11130","5974397fafb4265a64d121638449c96c_11748","DRO_A0278.p01","5b1dec001b64d68f08bc514628990a75_11222"
"DXG80_15840","","HAMP domain-containing histidine kinase","7","7","1","3","23","3","23","","1229","1547","1496","","A2G07_15645.p01","a6679ee1dd99a76d4f263da36fcf6004_12262","689a1f7569cd370648666ad3906989ad_12207","e7eb4eb1fba968f75f75040ad2de8570_11785","5974397fafb4265a64d121638449c96c_12570","DRO_B0087.p01","5b1dec001b64d68f08bc514628990a75_12228"
"E5E91_07650","","alginate biosynthesis protein AlgP","7","7","1","1","1203","1","2252","","1241","1604","1525","DR_1480.p01","A2G07_06170.p01","a6679ee1dd99a76d4f263da36fcf6004_2749","689a1f7569cd370648666ad3906989ad_7968","","5974397fafb4265a64d121638449c96c_5972","DRO_1462.p01","5b1dec001b64d68f08bc514628990a75_480"
"MSS93_07120","","uracil-DNA glycosylase","7","7","1","","","","","","416","599","551","DR_0022.p01","","a6679ee1dd99a76d4f263da36fcf6004_7506","689a1f7569cd370648666ad3906989ad_2323","e7eb4eb1fba968f75f75040ad2de8570_397","5974397fafb4265a64d121638449c96c_87","DRO_0023.p01","5b1dec001b64d68f08bc514628990a75_5158"
"DRO_0053","","iron-sulfur cluster assembly accessory protein","7","7","1","","","","","","236","356","320","DR_0051.p01","","a6679ee1dd99a76d4f263da36fcf6004_7631","689a1f7569cd370648666ad3906989ad_2446","e7eb4eb1fba968f75f75040ad2de8570_277","5974397fafb4265a64d121638449c96c_212","DRO_0053.p01","5b1dec001b64d68f08bc514628990a75_5269"
"benE","","benzoate/H( ) symporter BenE family transporter","7","7","1","1","19","1","19","","1166","1301","1248","DR_0056.p01","A2G07_00105.p01","a6679ee1dd99a76d4f263da36fcf6004_7651","689a1f7569cd370648666ad3906989ad_2466","e7eb4eb1fba968f75f75040ad2de8570_257","5974397fafb4265a64d121638449c96c_232","DRO_0058.p01",""
"A2G07_13045","","NUDIX domain-containing protein","7","7","1","1","1649","1","920","","161","275","247","DR_0092.p01","A2G07_13045.p01","a6679ee1dd99a76d4f263da36fcf6004_7798","689a1f7569cd370648666ad3906989ad_2609","","5974397fafb4265a64d121638449c96c_382","DRO_0092.p01","5b1dec001b64d68f08bc514628990a75_5448"
"HAV23_03715","","ImmA/IrrE family metallo-endopeptidase","7","7","1","1","1717","1","988","","827","986","910","DR_0167.p01","A2G07_12695.p01","a6679ee1dd99a76d4f263da36fcf6004_8089","689a1f7569cd370648666ad3906989ad_2885","e7eb4eb1fba968f75f75040ad2de8570_9925","5974397fafb4265a64d121638449c96c_672","DRO_0167.p01",""
"MSS93_07995","","D-alanyl-D-alanine carboxypeptidase","7","7","1","1","1726","1","997","","1154","1424","1383","DR_0176.p01","A2G07_12650.p01","a6679ee1dd99a76d4f263da36fcf6004_8127","689a1f7569cd370648666ad3906989ad_2919","","5974397fafb4265a64d121638449c96c_710","DRO_0176.p01","5b1dec001b64d68f08bc514628990a75_5782"
"DXG80_10520","","RNA polymerase sigma factor","7","7","1","1","1730","1","1001","","575","689","632","DR_0180.p01","A2G07_12630.p01","a6679ee1dd99a76d4f263da36fcf6004_8143","689a1f7569cd370648666ad3906989ad_2935","e7eb4eb1fba968f75f75040ad2de8570_9874","5974397fafb4265a64d121638449c96c_726","DRO_0180.p01",""
"HAV23_03830","","hypothetical protein","7","7","1","","","","","","752","1208","1142","DR_0190.p01","","a6679ee1dd99a76d4f263da36fcf6004_8183","689a1f7569cd370648666ad3906989ad_2975","e7eb4eb1fba968f75f75040ad2de8570_9835","5974397fafb4265a64d121638449c96c_766","DRO_0190.p01","5b1dec001b64d68f08bc514628990a75_5836"
"aceF","","dihydrolipoyllysine-residue acetyltransferase","7","7","1","1","1801","1","1072","","1469","1853","1768","DR_0256.p01","A2G07_12260.p01","a6679ee1dd99a76d4f263da36fcf6004_8451","689a1f7569cd370648666ad3906989ad_3229","","5974397fafb4265a64d121638449c96c_1034","DRO_0252.p01","5b1dec001b64d68f08bc514628990a75_6076"
"DXG80_11480","","ABC transporter permease","7","7","1","1","1906","1","1177","","782","1019","985","DR_0365.p01","A2G07_11710.p01","a6679ee1dd99a76d4f263da36fcf6004_8895","","e7eb4eb1fba968f75f75040ad2de8570_9172","5974397fafb4265a64d121638449c96c_1476","DRO_0364.p01","5b1dec001b64d68f08bc514628990a75_6517"
"murJ","","murein biosynthesis integral membrane protein MurJ","7","7","1","1","2039","1","1310","","1472","1667","1589","DR_0498.p01","A2G07_11025.p01","a6679ee1dd99a76d4f263da36fcf6004_9434","689a1f7569cd370648666ad3906989ad_4169","","5974397fafb4265a64d121638449c96c_2018","DRO_0496.p01","5b1dec001b64d68f08bc514628990a75_7049"
"E5E91_02750","","hypothetical protein","7","7","1","1","2072","1","1343","","221","620","395","DR_0531.p01","A2G07_10850.p01","a6679ee1dd99a76d4f263da36fcf6004_9579","689a1f7569cd370648666ad3906989ad_4304","","5974397fafb4265a64d121638449c96c_2159","DRO_0529.p01","5b1dec001b64d68f08bc514628990a75_7220"
"A2G07_10820","","hypothetical protein","7","7","1","1","2078","1","1349","","824","1235","1176","DR_0537.p01","A2G07_10820.p01","a6679ee1dd99a76d4f263da36fcf6004_9606","689a1f7569cd370648666ad3906989ad_4324","","5974397fafb4265a64d121638449c96c_2186","DRO_0535.p01","5b1dec001b64d68f08bc514628990a75_7252"
"ilvA","","threonine ammonia-lyase, biosynthetic","7","7","1","1","2107","1","1378","","1505","1706","1566","DR_0567.p01","A2G07_10665.p01","a6679ee1dd99a76d4f263da36fcf6004_9735","689a1f7569cd370648666ad3906989ad_4448","e7eb4eb1fba968f75f75040ad2de8570_8387","5974397fafb4265a64d121638449c96c_2310","DRO_0566.p01",""
"DRO_0597","","SCO family protein","7","7","1","1","2138","1","1409","","407","668","629","DR_0597.p01","A2G07_10500.p01","a6679ee1dd99a76d4f263da36fcf6004_9869","","e7eb4eb1fba968f75f75040ad2de8570_8257","5974397fafb4265a64d121638449c96c_2447","DRO_0597.p01","5b1dec001b64d68f08bc514628990a75_7509"
"DXG80_12785","","GNAT family N-acetyltransferase","7","7","1","1","2149","1","1420","","206","611","553","DR_0608.p01","A2G07_10445.p01","a6679ee1dd99a76d4f263da36fcf6004_9913","689a1f7569cd370648666ad3906989ad_4615","","5974397fafb4265a64d121638449c96c_2491","DRO_0608.p01","5b1dec001b64d68f08bc514628990a75_7553"
"A2G07_09660","","hypothetical protein","7","7","1","1","2301","1","1572","","473","803","755","DR_0769.p01","A2G07_09660.p01","a6679ee1dd99a76d4f263da36fcf6004_10552","","e7eb4eb1fba968f75f75040ad2de8570_7609","5974397fafb4265a64d121638449c96c_3136","DRO_0765.p01","5b1dec001b64d68f08bc514628990a75_8238"
"DRO_tRNA10","","tRNA-Leu","7","7","1","","","","","","84","404","129","DR_0852.p01","","a6679ee1dd99a76d4f263da36fcf6004_253","689a1f7569cd370648666ad3906989ad_5559","e7eb4eb1fba968f75f75040ad2de8570_7287","5974397fafb4265a64d121638449c96c_3468","DRO_tRNA10.r01","5b1dec001b64d68f08bc514628990a75_8586"
"HAV35_09585","","hypothetical protein","7","7","1","1","2384","1","1655","","1886","1970","1928","DR_0855.p01","A2G07_09230.p01","a6679ee1dd99a76d4f263da36fcf6004_265","689a1f7569cd370648666ad3906989ad_5575","e7eb4eb1fba968f75f75040ad2de8570_7272","5974397fafb4265a64d121638449c96c_3480","DRO_0851.p01",""
"MSS93_11885","","hypothetical protein","7","7","1","1","2387","1","1658","","620","803","689","DR_0858.p01","A2G07_09215.p01","a6679ee1dd99a76d4f263da36fcf6004_275","689a1f7569cd370648666ad3906989ad_5587","","5974397fafb4265a64d121638449c96c_3490","DRO_0854.p01","5b1dec001b64d68f08bc514628990a75_8624"
"DRO_1054","","NADPH:quinone oxidoreductase family protein","7","7","1","1","1606","1","1849","","890","1166","996","DR_1061.p01","A2G07_08225.p01","a6679ee1dd99a76d4f263da36fcf6004_1082","689a1f7569cd370648666ad3906989ad_6369","","5974397fafb4265a64d121638449c96c_4304","DRO_1054.p01","5b1dec001b64d68f08bc514628990a75_9415"
"MSS93_13250","","hypothetical protein","7","7","1","1","1555","1","1900","","155","488","438","DR_1113.p01","A2G07_07955.p01","a6679ee1dd99a76d4f263da36fcf6004_1300","689a1f7569cd370648666ad3906989ad_6580","","5974397fafb4265a64d121638449c96c_4526","DRO_1110.p01","5b1dec001b64d68f08bc514628990a75_9621"
"pucL","","urate oxidase","7","7","1","1","1507","1","1948","","467","896","833","DR_1160.p01","A2G07_07715.p01","a6679ee1dd99a76d4f263da36fcf6004_1498","689a1f7569cd370648666ad3906989ad_6775","","5974397fafb4265a64d121638449c96c_4720","DRO_1158.p01","5b1dec001b64d68f08bc514628990a75_9812"
"DRO_1162","","pantoate--beta-alanine ligase","7","7","1","1","1503","1","1952","","845","917","891","DR_1164.p01","A2G07_07695.p01","a6679ee1dd99a76d4f263da36fcf6004_1514","689a1f7569cd370648666ad3906989ad_6791","e7eb4eb1fba968f75f75040ad2de8570_6103","5974397fafb4265a64d121638449c96c_4736","DRO_1162.p01",""
"HAV23_11580","","DUF4127 family protein","7","7","1","1","953","1","2502","","1268","1451","1372","DR_1740.p01","A2G07_04895.p01","a6679ee1dd99a76d4f263da36fcf6004_3769","689a1f7569cd370648666ad3906989ad_8987","e7eb4eb1fba968f75f75040ad2de8570_3965","5974397fafb4265a64d121638449c96c_6996","DRO_1719.p01",""
"HAV35_07825","","peroxiredoxin","7","7","1","1","1460","1","1995","","383","557","476","DR_1209.p01","A2G07_07480.p01","a6679ee1dd99a76d4f263da36fcf6004_1693","689a1f7569cd370648666ad3906989ad_6958","e7eb4eb1fba968f75f75040ad2de8570_5936","5974397fafb4265a64d121638449c96c_4913","DRO_1205.p01",""
"E5E91_06430","","DUF1990 family protein","7","7","1","1","1432","1","2023","","875","1034","1007","DR_1237.p01","A2G07_07340.p01","a6679ee1dd99a76d4f263da36fcf6004_1803","","e7eb4eb1fba968f75f75040ad2de8570_5830","5974397fafb4265a64d121638449c96c_5022","DRO_1233.p01","5b1dec001b64d68f08bc514628990a75_10116"
"HAV23_09245","","tRNA-OTHER","7","7","1","1","1407","1","2048","","139","668","387","","A2G07_07215.p01","a6679ee1dd99a76d4f263da36fcf6004_1907","689a1f7569cd370648666ad3906989ad_7159","e7eb4eb1fba968f75f75040ad2de8570_5730","5974397fafb4265a64d121638449c96c_5128","DRO_1256.p01","5b1dec001b64d68f08bc514628990a75_10225"
"MSS93_14290","","MFS transporter","7","7","1","1","1363","1","2092","","1154","1376","1287","DR_1307.p01","A2G07_06990.p01","a6679ee1dd99a76d4f263da36fcf6004_2079","689a1f7569cd370648666ad3906989ad_7329","","5974397fafb4265a64d121638449c96c_5300","DRO_1298.p01","5b1dec001b64d68f08bc514628990a75_10391"
