"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","GCA_001399775.1","GCA_018771645.1","GCA_028472205.1"
"KNN15_06925","","hypothetical protein","1","1","1","","","","","","293","293","293","","1a7f36f5a39ec6a4fe158fba3bbbf404_5432",""
"KNN15_06930","","hypothetical protein","1","1","1","","","","","","545","545","545","","1a7f36f5a39ec6a4fe158fba3bbbf404_5436",""
"KNN15_06935","","hypothetical protein","1","1","1","","","","","","611","611","611","","1a7f36f5a39ec6a4fe158fba3bbbf404_5440",""
"KNN15_06940","","M23 family metallopeptidase","1","1","1","","","","","","662","662","662","","1a7f36f5a39ec6a4fe158fba3bbbf404_5444",""
"KNN15_06945","","hypothetical protein","1","1","1","","","","","","392","392","392","","1a7f36f5a39ec6a4fe158fba3bbbf404_5448",""
"KNN15_06950","","hypothetical protein","1","1","1","","","","","","350","350","350","","1a7f36f5a39ec6a4fe158fba3bbbf404_5452",""
"KNN15_06955","","hypothetical protein","1","1","1","","","","","","425","425","425","","1a7f36f5a39ec6a4fe158fba3bbbf404_5456",""
"KNN15_06960","","phage terminase large subunit family protein","1","1","1","","","","","","620","620","620","","1a7f36f5a39ec6a4fe158fba3bbbf404_5460",""
"KNN15_06965","","hypothetical protein","1","1","1","","","","","","221","221","221","","1a7f36f5a39ec6a4fe158fba3bbbf404_5464",""
"KNN15_06970","","hypothetical protein","1","1","1","","","","","","209","209","209","","1a7f36f5a39ec6a4fe158fba3bbbf404_5468",""
"KNN15_06975","","hypothetical protein","1","1","1","","","","","","218","218","218","","1a7f36f5a39ec6a4fe158fba3bbbf404_5472",""
"KNN15_06980","","hypothetical protein","1","1","1","","","","","","272","272","272","","1a7f36f5a39ec6a4fe158fba3bbbf404_5476",""
"KNN15_06985","","hypothetical protein","1","1","1","","","","","","431","431","431","","1a7f36f5a39ec6a4fe158fba3bbbf404_5480",""
"KNN15_06990","","hypothetical protein","1","1","1","","","","","","1010","1010","1010","","1a7f36f5a39ec6a4fe158fba3bbbf404_5484",""
"KNN15_06995","","hypothetical protein","1","1","1","","","","","","146","146","146","","1a7f36f5a39ec6a4fe158fba3bbbf404_5488",""
"KNN15_07000","","hypothetical protein","1","1","1","","","","","","362","362","362","","1a7f36f5a39ec6a4fe158fba3bbbf404_5492",""
"KNN15_07005","","phage portal protein","1","1","1","","","","","","380","380","380","","1a7f36f5a39ec6a4fe158fba3bbbf404_5496",""
"KNN15_07010","","hypothetical protein","1","1","1","","","","","","137","137","137","","1a7f36f5a39ec6a4fe158fba3bbbf404_5500",""
"KNN15_07020","","EAL domain-containing protein","1","1","1","","","","","","1655","1655","1655","","1a7f36f5a39ec6a4fe158fba3bbbf404_5509",""
"KNN15_07120","","ABC transporter ATP-binding protein/permease","1","1","1","","","","","","1748","1748","1748","","1a7f36f5a39ec6a4fe158fba3bbbf404_5589",""
"KNN15_07135","","protease complex subunit PrcB family protein","1","1","1","","","","","","1052","1052","1052","","1a7f36f5a39ec6a4fe158fba3bbbf404_5601",""
"KNN15_07140","","ABC transporter permease","1","1","1","","","","","","848","848","848","","1a7f36f5a39ec6a4fe158fba3bbbf404_5605",""
"KNN15_07145","","ABC transporter permease","1","1","1","","","","","","1010","1010","1010","","1a7f36f5a39ec6a4fe158fba3bbbf404_5609",""
"KNN15_07150","","ABC transporter substrate-binding protein","1","1","1","","","","","","1583","1583","1583","","1a7f36f5a39ec6a4fe158fba3bbbf404_5613",""
"KNN15_07210","","DNA mismatch repair protein MutL","1","1","1","","","","","","1730","1730","1730","","1a7f36f5a39ec6a4fe158fba3bbbf404_5661",""
"rraA","","ribonuclease E activity regulator RraA","1","1","1","","","","","","494","494","494","","1a7f36f5a39ec6a4fe158fba3bbbf404_5665",""
"KNN15_07225","","trypsin-like peptidase domain-containing protein","1","1","1","","","","","","1214","1214","1214","","1a7f36f5a39ec6a4fe158fba3bbbf404_5673",""
"KNN15_07230","","hypothetical protein","1","1","1","","","","","","395","395","395","","1a7f36f5a39ec6a4fe158fba3bbbf404_5677",""
"KNN15_07240","","TRAP transporter fused permease subunit","1","1","1","","","","","","2114","2114","2114","","1a7f36f5a39ec6a4fe158fba3bbbf404_5685",""
"KNN15_07250","","site-2 protease family protein","1","1","1","","","","","","1091","1091","1091","","1a7f36f5a39ec6a4fe158fba3bbbf404_5693",""
"KNN15_07290","","PaaI family thioesterase","1","1","1","","","","","","398","398","398","","1a7f36f5a39ec6a4fe158fba3bbbf404_5725",""
"KNN15_07425","","glutamate--tRNA ligase","1","1","1","","","","","","1418","1418","1418","","1a7f36f5a39ec6a4fe158fba3bbbf404_5831",""
"rnpA","","ribonuclease P protein component","1","1","1","","","","","","341","341","341","","1a7f36f5a39ec6a4fe158fba3bbbf404_5859",""
"KNN15_07475","","long-chain fatty acid--CoA ligase","1","1","1","","","","","","1934","1934","1934","","1a7f36f5a39ec6a4fe158fba3bbbf404_5869",""
"KNN15_07480","","branched-chain amino acid ABC transporter permease","1","1","1","","","","","","893","893","893","","1a7f36f5a39ec6a4fe158fba3bbbf404_5873",""
"KNN15_07485","","branched-chain amino acid ABC transporter permease","1","1","1","","","","","","1067","1067","1067","","1a7f36f5a39ec6a4fe158fba3bbbf404_5877",""
"KNN15_07490","","ABC transporter substrate-binding protein","1","1","1","","","","","","1202","1202","1202","","1a7f36f5a39ec6a4fe158fba3bbbf404_5881",""
"KNN15_07815","","hypothetical protein","1","1","1","","","","","","140","140","140","","1a7f36f5a39ec6a4fe158fba3bbbf404_6141",""
"TO73_2126","","hypothetical protein","1","1","1","","","","","","263","263","263","TO73_2126.p01","",""
"TO73_0080","","translation elongation factor Tu","1","1","1","","","","","","1220","1220","1220","TO73_0080.p01","",""
"KNN15_08305","","amino acid ABC transporter ATP-binding protein","1","1","1","","","","","","725","725","725","","1a7f36f5a39ec6a4fe158fba3bbbf404_6518",""
"KNN15_07940","","hypothetical protein","1","1","1","","","","","","398","398","398","","1a7f36f5a39ec6a4fe158fba3bbbf404_6237",""
"KNN15_07945","","hypothetical protein","1","1","1","","","","","","437","437","437","","1a7f36f5a39ec6a4fe158fba3bbbf404_6241",""
"KNN15_07950","","hypothetical protein","1","1","1","","","","","","563","563","563","","1a7f36f5a39ec6a4fe158fba3bbbf404_6245",""
"KNN15_07955","","hypothetical protein","1","1","1","","","","","","284","284","284","","1a7f36f5a39ec6a4fe158fba3bbbf404_6249",""
"KNN15_07970","","hypothetical protein","1","1","1","","","","","","1781","1781","1781","","1a7f36f5a39ec6a4fe158fba3bbbf404_6261",""
"KNN15_07975","","bifunctional DNA primase/polymerase","1","1","1","","","","","","896","896","896","","1a7f36f5a39ec6a4fe158fba3bbbf404_6265",""
"KNN15_07980","","hypothetical protein","1","1","1","","","","","","209","209","209","","1a7f36f5a39ec6a4fe158fba3bbbf404_6269",""
"KNN15_07985","","tRNA-Leu","1","1","1","","","","","","81","81","81","","1a7f36f5a39ec6a4fe158fba3bbbf404_6273",""
"KNN15_07990","","WYL domain-containing protein","1","1","1","","","","","","968","968","968","","1a7f36f5a39ec6a4fe158fba3bbbf404_6277",""
"cas3","","CRISPR-associated helicase Cas3'","1","1","1","","","","","","2783","2783","2783","","1a7f36f5a39ec6a4fe158fba3bbbf404_6281",""
"casA","","type I-E CRISPR-associated protein Cse1/CasA","1","1","1","","","","","","1454","1454","1454","","1a7f36f5a39ec6a4fe158fba3bbbf404_6285",""
"casB","","type I-E CRISPR-associated protein Cse2/CasB","1","1","1","","","","","","515","515","515","","1a7f36f5a39ec6a4fe158fba3bbbf404_6289",""
"cas7e","","type I-E CRISPR-associated protein Cas7/Cse4/CasC","1","1","1","","","","","","1124","1124","1124","","1a7f36f5a39ec6a4fe158fba3bbbf404_6293",""
"cas5e","","type I-E CRISPR-associated protein Cas5/CasD","1","1","1","","","","","","674","674","674","","1a7f36f5a39ec6a4fe158fba3bbbf404_6297",""
"cas6e","","type I-E CRISPR-associated protein Cas6/Cse3/CasE","1","1","1","","","","","","617","617","617","","1a7f36f5a39ec6a4fe158fba3bbbf404_6301",""
"cas1e","","type I-E CRISPR-associated endonuclease Cas1e","1","1","1","","","","","","974","974","974","","1a7f36f5a39ec6a4fe158fba3bbbf404_6305",""
"cas2e","","type I-E CRISPR-associated endoribonuclease Cas2e","1","1","1","","","","","","398","398","398","","1a7f36f5a39ec6a4fe158fba3bbbf404_6310",""
"KNN15_08040","","DUF2726 domain-containing protein","1","1","1","","","","","","539","539","539","","1a7f36f5a39ec6a4fe158fba3bbbf404_6316",""
"KNN15_08045","","hypothetical protein","1","1","1","","","","","","572","572","572","","1a7f36f5a39ec6a4fe158fba3bbbf404_6320",""
"KNN15_08050","","ribbon-helix-helix domain-containing protein","1","1","1","","","","","","227","227","227","","1a7f36f5a39ec6a4fe158fba3bbbf404_6324",""
"KNN15_08055","","type II toxin-antitoxin system VapC family toxin","1","1","1","","","","","","395","395","395","","1a7f36f5a39ec6a4fe158fba3bbbf404_6328",""
"KNN15_08065","","hypothetical protein","1","1","1","","","","","","164","164","164","","1a7f36f5a39ec6a4fe158fba3bbbf404_6334",""
"KNN15_08080","","hypothetical protein","1","1","1","","","","","","221","221","221","","1a7f36f5a39ec6a4fe158fba3bbbf404_6346",""
"KNN15_08095","","ABC transporter substrate-binding protein","1","1","1","","","","","","1310","1310","1310","","1a7f36f5a39ec6a4fe158fba3bbbf404_6358",""
"KNN15_08100","","carbohydrate ABC transporter permease","1","1","1","","","","","","815","815","815","","1a7f36f5a39ec6a4fe158fba3bbbf404_6362",""
"KNN15_08105","","sugar ABC transporter permease","1","1","1","","","","","","911","911","911","","1a7f36f5a39ec6a4fe158fba3bbbf404_6366",""
"KNN15_08110","","HAD-IIA family hydrolase","1","1","1","","","","","","779","779","779","","1a7f36f5a39ec6a4fe158fba3bbbf404_6370",""
"KNN15_08115","","MurR/RpiR family transcriptional regulator","1","1","1","","","","","","860","860","860","","1a7f36f5a39ec6a4fe158fba3bbbf404_6374",""
"KNN15_08120","","glycerophosphodiester phosphodiesterase","1","1","1","","","","","","698","698","698","","1a7f36f5a39ec6a4fe158fba3bbbf404_6378",""
"KNN15_08125","","Na/Pi cotransporter family protein","1","1","1","","","","","","1484","1484","1484","","1a7f36f5a39ec6a4fe158fba3bbbf404_6382",""
"KNN15_08135","","hypothetical protein","1","1","1","","","","","","164","164","164","","1a7f36f5a39ec6a4fe158fba3bbbf404_6388",""
"KNN15_08140","","DUF86 domain-containing protein","1","1","1","","","","","","347","347","347","","1a7f36f5a39ec6a4fe158fba3bbbf404_6392",""
"KNN15_08150","","hypothetical protein","1","1","1","","","","","","152","152","152","","1a7f36f5a39ec6a4fe158fba3bbbf404_6398",""
"KNN15_08155","","hypothetical protein","1","1","1","","","","","","233","233","233","","1a7f36f5a39ec6a4fe158fba3bbbf404_6402",""
"KNN15_08165","","DeoR/GlpR family DNA-binding transcription regulator","1","1","1","","","","","","692","692","692","","1a7f36f5a39ec6a4fe158fba3bbbf404_6408",""
"KNN15_08175","","BtpA/SgcQ family protein","1","1","1","","","","","","800","800","800","","1a7f36f5a39ec6a4fe158fba3bbbf404_6416",""
"KNN15_08180","","FGGY-family carbohydrate kinase","1","1","1","","","","","","1475","1475","1475","","1a7f36f5a39ec6a4fe158fba3bbbf404_6420",""
"KNN15_08185","","SDR family oxidoreductase","1","1","1","","","","","","770","770","770","","1a7f36f5a39ec6a4fe158fba3bbbf404_6424",""
"KNN15_08190","","carbohydrate ABC transporter permease","1","1","1","","","","","","815","815","815","","1a7f36f5a39ec6a4fe158fba3bbbf404_6428",""
"KNN15_08195","","extracellular solute-binding protein","1","1","1","","","","","","1265","1265","1265","","1a7f36f5a39ec6a4fe158fba3bbbf404_6432",""
"KNN15_08200","","sugar ABC transporter permease","1","1","1","","","","","","824","824","824","","1a7f36f5a39ec6a4fe158fba3bbbf404_6436",""
"KNN15_08205","","ABC transporter ATP-binding protein","1","1","1","","","","","","1028","1028","1028","","1a7f36f5a39ec6a4fe158fba3bbbf404_6440",""
"KNN15_08210","","sugar phosphate isomerase/epimerase","1","1","1","","","","","","812","812","812","","1a7f36f5a39ec6a4fe158fba3bbbf404_6444",""
"KNN15_08215","","extracellular solute-binding protein","1","1","1","","","","","","1106","1106","1106","","1a7f36f5a39ec6a4fe158fba3bbbf404_6448",""
"KNN15_08220","","ABC transporter permease subunit","1","1","1","","","","","","806","806","806","","1a7f36f5a39ec6a4fe158fba3bbbf404_6452",""
"KNN15_08225","","ABC transporter permease subunit","1","1","1","","","","","","767","767","767","","1a7f36f5a39ec6a4fe158fba3bbbf404_6456",""
"KNN15_08230","","ABC transporter ATP-binding protein","1","1","1","","","","","","938","938","938","","1a7f36f5a39ec6a4fe158fba3bbbf404_6460",""
"KNN15_08235","","ABC transporter permease","1","1","1","","","","","","1409","1409","1409","","1a7f36f5a39ec6a4fe158fba3bbbf404_6464",""
"KNN15_08240","","ABC transporter substrate-binding protein","1","1","1","","","","","","944","944","944","","1a7f36f5a39ec6a4fe158fba3bbbf404_6468",""
"KNN15_08245","","ABC transporter substrate-binding protein","1","1","1","","","","","","1283","1283","1283","","1a7f36f5a39ec6a4fe158fba3bbbf404_6472",""
"KNN15_08250","","carbohydrate ABC transporter permease","1","1","1","","","","","","857","857","857","","1a7f36f5a39ec6a4fe158fba3bbbf404_6476",""
"KNN15_08255","","sugar ABC transporter permease","1","1","1","","","","","","803","803","803","","1a7f36f5a39ec6a4fe158fba3bbbf404_6480",""
"group_4064","surE","5'/3'-nucleotidase SurE","1","1","1","","","","","","734","734","734","","1a7f36f5a39ec6a4fe158fba3bbbf404_6484",""
"KNN15_08265","","hypothetical protein","1","1","1","","","","","","185","185","185","","1a7f36f5a39ec6a4fe158fba3bbbf404_6488",""
"KNN15_08275","","hypothetical protein","1","1","1","","","","","","161","161","161","","1a7f36f5a39ec6a4fe158fba3bbbf404_6494",""
"KNN15_08280","","hypothetical protein","1","1","1","","","","","","764","764","764","","1a7f36f5a39ec6a4fe158fba3bbbf404_6498",""
"KNN15_08285","","hypothetical protein","1","1","1","","","","","","2111","2111","2111","","1a7f36f5a39ec6a4fe158fba3bbbf404_6502",""
"KNN15_08290","","hypothetical protein","1","1","1","","","","","","548","548","548","","1a7f36f5a39ec6a4fe158fba3bbbf404_6506",""
"KNN15_08295","","DsrE family protein","1","1","1","","","","","","401","401","401","","1a7f36f5a39ec6a4fe158fba3bbbf404_6510",""
"KNN15_08300","","DsrE family protein","1","1","1","","","","","","353","353","353","","1a7f36f5a39ec6a4fe158fba3bbbf404_6514",""
"KNN15_08310","","amino acid ABC transporter permease","1","1","1","","","","","","962","962","962","","1a7f36f5a39ec6a4fe158fba3bbbf404_6522",""
"KNN15_08315","","ABC transporter permease subunit","1","1","1","","","","","","1103","1103","1103","","1a7f36f5a39ec6a4fe158fba3bbbf404_6526",""
"KNN15_08320","","amino acid ABC transporter substrate-binding protein","1","1","1","","","","","","1025","1025","1025","","1a7f36f5a39ec6a4fe158fba3bbbf404_6530",""
"KNN15_08325","","urease accessory protein UreD","1","1","1","","","","","","935","935","935","","1a7f36f5a39ec6a4fe158fba3bbbf404_6534",""
"ureG","","urease accessory protein UreG","1","1","1","","","","","","707","707","707","","1a7f36f5a39ec6a4fe158fba3bbbf404_6538",""
"KNN15_08335","","hypothetical protein","1","1","1","","","","","","656","656","656","","1a7f36f5a39ec6a4fe158fba3bbbf404_6542",""
"KNN15_08340","","urease accessory protein UreE","1","1","1","","","","","","443","443","443","","1a7f36f5a39ec6a4fe158fba3bbbf404_6546",""
"ureC","","urease subunit alpha","1","1","1","","","","","","1706","1706","1706","","1a7f36f5a39ec6a4fe158fba3bbbf404_6550",""
"GO600_09360","","helix-turn-helix domain-containing protein","1","1","1","1","1363","1","1695","","428","428","428","","","1147bcd2e8bc16dabca75e70b6a67ef2_7319"
"KNN15_08350","","urease subunit beta","1","1","1","","","","","","356","356","356","","1a7f36f5a39ec6a4fe158fba3bbbf404_6554",""
"KNN15_08355","","hypothetical protein","1","1","1","","","","","","629","629","629","","1a7f36f5a39ec6a4fe158fba3bbbf404_6558",""
"group_4082","speB","agmatinase","1","1","1","","","","","","860","860","860","","1a7f36f5a39ec6a4fe158fba3bbbf404_6562",""
"KNN15_08365","","hypothetical protein","1","1","1","","","","","","251","251","251","","1a7f36f5a39ec6a4fe158fba3bbbf404_6566",""
"KNN15_08370","","ABC transporter ATP-binding protein","1","1","1","","","","","","782","782","782","","1a7f36f5a39ec6a4fe158fba3bbbf404_6570",""
"KNN15_08375","","ABC transporter permease","1","1","1","","","","","","803","803","803","","1a7f36f5a39ec6a4fe158fba3bbbf404_6574",""
"KNN15_08380","","ABC transporter substrate-binding protein","1","1","1","","","","","","989","989","989","","1a7f36f5a39ec6a4fe158fba3bbbf404_6578",""
"KNN15_08385","","urease subunit gamma","1","1","1","","","","","","302","302","302","","1a7f36f5a39ec6a4fe158fba3bbbf404_6582",""
"urtE","","urea ABC transporter ATP-binding subunit UrtE","1","1","1","","","","","","707","707","707","","1a7f36f5a39ec6a4fe158fba3bbbf404_6586",""
"KNN15_08395","","ATP-binding cassette domain-containing protein","1","1","1","","","","","","713","713","713","","1a7f36f5a39ec6a4fe158fba3bbbf404_6590",""
"GO600_09460","","helix-turn-helix domain-containing protein","1","1","1","1","1346","1","1678","","527","527","527","","","1147bcd2e8bc16dabca75e70b6a67ef2_7393"
"urtC","","urea ABC transporter permease subunit UrtC","1","1","1","","","","","","1043","1043","1043","","1a7f36f5a39ec6a4fe158fba3bbbf404_6594",""
"urtB","","urea ABC transporter permease subunit UrtB","1","1","1","","","","","","908","908","908","","1a7f36f5a39ec6a4fe158fba3bbbf404_6598",""
"urtA","","urea ABC transporter substrate-binding protein","1","1","1","","","","","","1196","1196","1196","","1a7f36f5a39ec6a4fe158fba3bbbf404_6602",""
"KNN15_08415","","DUF1232 domain-containing protein","1","1","1","","","","","","452","452","452","","1a7f36f5a39ec6a4fe158fba3bbbf404_6606",""
"GO600_10420","","helix-turn-helix domain-containing protein","1","1","1","1","1165","1","1497","","527","527","527","","","1147bcd2e8bc16dabca75e70b6a67ef2_8143"
"ribF","","riboflavin biosynthesis protein RibF","1","1","1","","","","","","884","884","884","","1a7f36f5a39ec6a4fe158fba3bbbf404_6652",""
"KNN15_08480","","NUDIX hydrolase","1","1","1","","","","","","488","488","488","","1a7f36f5a39ec6a4fe158fba3bbbf404_6656",""
"KNN15_08485","","hypothetical protein","1","1","1","","","","","","1115","1115","1115","","1a7f36f5a39ec6a4fe158fba3bbbf404_6660",""
"TO73_0001","","chromosomal replication initiator protein DnaA","1","1","1","","","","","","1325","1325","1325","TO73_0001.p01","",""
"KNN15_08570","","hypothetical protein","1","1","1","","","","","","482","482","482","","1a7f36f5a39ec6a4fe158fba3bbbf404_6728",""
"TO73_0002","","DNA polymerase III beta subunit","1","1","1","","","","","","1115","1115","1115","TO73_0002.p01","",""
"mqnE","","aminofutalosine synthase MqnE","1","1","1","","","","","","1178","1178","1178","","1a7f36f5a39ec6a4fe158fba3bbbf404_6764",""
"TO73_0003","","enolase","1","1","1","","","","","","1268","1268","1268","TO73_0003.p01","",""
"KNN15_08675","","sensor histidine kinase","1","1","1","","","","","","2510","2510","2510","","1a7f36f5a39ec6a4fe158fba3bbbf404_6806",""
"KNN15_08680","","hypothetical protein","1","1","1","","","","","","176","176","176","","1a7f36f5a39ec6a4fe158fba3bbbf404_6810",""
"KNN15_08685","","CBS domain-containing protein","1","1","1","","","","","","1748","1748","1748","","1a7f36f5a39ec6a4fe158fba3bbbf404_6814",""
"KNN15_08690","","sodium/solute symporter","1","1","1","","","","","","1535","1535","1535","","1a7f36f5a39ec6a4fe158fba3bbbf404_6818",""
"KNN15_08695","","DUF485 domain-containing protein","1","1","1","","","","","","275","275","275","","1a7f36f5a39ec6a4fe158fba3bbbf404_6822",""
"KNN15_08715","","nuclear transport factor 2 family protein","1","1","1","","","","","","386","386","386","","1a7f36f5a39ec6a4fe158fba3bbbf404_6838",""
"TO73_0004","","pyruvate kinase","1","1","1","","","","","","1424","1424","1424","TO73_0004.p01","",""
"KNN15_08725","","hypothetical protein","1","1","1","","","","","","137","137","137","","1a7f36f5a39ec6a4fe158fba3bbbf404_6846",""
"TO73_0005","","cytochrome c-552 precursor","1","1","1","","","","","","428","428","428","TO73_0005.p01","",""
"KNN15_08830","","chromosome segregation protein ScpA","1","1","1","","","","","","656","656","656","","1a7f36f5a39ec6a4fe158fba3bbbf404_6929",""
"KNN15_08835","","Uma2 family endonuclease","1","1","1","","","","","","554","554","554","","1a7f36f5a39ec6a4fe158fba3bbbf404_6933",""
"TO73_0006","","radical SAM domain heme biosynthesis protein","1","1","1","","","","","","782","782","782","TO73_0006.p01","",""
"KNN15_08840","","hypothetical protein","1","1","1","","","","","","260","260","260","","1a7f36f5a39ec6a4fe158fba3bbbf404_6937",""
"KNN15_08845","","hypothetical protein","1","1","1","","","","","","1355","1355","1355","","1a7f36f5a39ec6a4fe158fba3bbbf404_6941",""
"KNN15_08850","","hypothetical protein","1","1","1","","","","","","152","152","152","","1a7f36f5a39ec6a4fe158fba3bbbf404_6945",""
"KNN15_08855","","prepilin-type N-terminal cleavage/methylation domain-containing protein","1","1","1","","","","","","368","368","368","","1a7f36f5a39ec6a4fe158fba3bbbf404_6949",""
"KNN15_08885","","thiolase family protein","1","1","1","","","","","","1190","1190","1190","","1a7f36f5a39ec6a4fe158fba3bbbf404_6973",""
"TO73_0007","","metal dependent hydrolase","1","1","1","","","","","","614","614","614","TO73_0007.p01","",""
"TO73_0008","","1-deoxy-D-xylulose 5-phosphate synthase","1","1","1","","","","","","1847","1847","1847","TO73_0008.p01","",""
"KNN15_08950","","hypothetical protein","1","1","1","","","","","","1706","1706","1706","","1a7f36f5a39ec6a4fe158fba3bbbf404_7023",""
"KNN15_08955","","PQQ-dependent sugar dehydrogenase","1","1","1","","","","","","1061","1061","1061","","1a7f36f5a39ec6a4fe158fba3bbbf404_7027",""
"TO73_0009","","hypothetical protein","1","1","1","","","","","","629","629","629","TO73_0009.p01","",""
"TO73_0010","","hypothetical protein","1","1","1","","","","","","284","284","284","TO73_0010.p01","",""
"TO73_0011","","phage shock protein A-like protein","1","1","1","","","","","","662","662","662","TO73_0011.p01","",""
"KNN15_09190","","DUF4900 domain-containing protein","1","1","1","","","","","","1871","1871","1871","","1a7f36f5a39ec6a4fe158fba3bbbf404_7213",""
"KNN15_09195","","prepilin-type N-terminal cleavage/methylation domain-containing protein","1","1","1","","","","","","980","980","980","","1a7f36f5a39ec6a4fe158fba3bbbf404_7217",""
"TO73_0012","","hypothetical protein","1","1","1","","","","","","737","737","737","TO73_0012.p01","",""
"KNN15_09200","","prepilin-type N-terminal cleavage/methylation domain-containing protein","1","1","1","","","","","","437","437","437","","1a7f36f5a39ec6a4fe158fba3bbbf404_7221",""
"KNN15_09205","","prepilin-type N-terminal cleavage/methylation domain-containing protein","1","1","1","","","","","","473","473","473","","1a7f36f5a39ec6a4fe158fba3bbbf404_7225",""
"bshB1","","bacillithiol biosynthesis deacetylase BshB1","1","1","1","","","","","","683","683","683","","1a7f36f5a39ec6a4fe158fba3bbbf404_7239",""
"KNN15_09240","","hypothetical protein","1","1","1","","","","","","1142","1142","1142","","1a7f36f5a39ec6a4fe158fba3bbbf404_7251",""
"group_4228","hisD","histidinol dehydrogenase","1","1","1","","","","","","1238","1238","1238","","1a7f36f5a39ec6a4fe158fba3bbbf404_7259",""
"KNN15_09255","","ABC transporter substrate-binding protein","1","1","1","","","","","","797","797","797","","1a7f36f5a39ec6a4fe158fba3bbbf404_7263",""
"TO73_2393","","hypothetical protein","1","1","1","","","","","","635","635","635","TO73_2393.p01","",""
"KNN15_09260","","S8 family serine peptidase","1","1","1","","","","","","1322","1322","1322","","1a7f36f5a39ec6a4fe158fba3bbbf404_7267",""
"KNN15_09265","","LCP family protein","1","1","1","","","","","","1154","1154","1154","","1a7f36f5a39ec6a4fe158fba3bbbf404_7271",""
"TO73_0013","","cysteine synthase","1","1","1","","","","","","911","911","911","TO73_0013.p01","",""
"KNN15_09335","","F0F1 ATP synthase subunit C","1","1","1","","","","","","299","299","299","","1a7f36f5a39ec6a4fe158fba3bbbf404_7326",""
"KNN15_09395","","TolC family protein","1","1","1","","","","","","1268","1268","1268","","1a7f36f5a39ec6a4fe158fba3bbbf404_7374",""
"KNN15_09400","","MarR family transcriptional regulator","1","1","1","","","","","","434","434","434","","1a7f36f5a39ec6a4fe158fba3bbbf404_7378",""
"TO73_0014","","FKBP-type peptidyl-prolyl cis-trans isomerase SlyD","1","1","1","","","","","","467","467","467","TO73_0014.p01","",""
"KNN15_09450","","thiolase family protein","1","1","1","","","","","","1154","1154","1154","","1a7f36f5a39ec6a4fe158fba3bbbf404_7418",""
"TO73_0015","","cold shock protein CspA","1","1","1","","","","","","206","206","206","TO73_0015.p01","",""
"KNN15_09470","","ABC transporter ATP-binding protein","1","1","1","","","","","","728","728","728","","1a7f36f5a39ec6a4fe158fba3bbbf404_7434",""
"KNN15_09475","","ABC transporter ATP-binding protein","1","1","1","","","","","","755","755","755","","1a7f36f5a39ec6a4fe158fba3bbbf404_7438",""
"KNN15_09480","","branched-chain amino acid ABC transporter permease","1","1","1","","","","","","929","929","929","","1a7f36f5a39ec6a4fe158fba3bbbf404_7442",""
"KNN15_09485","","branched-chain amino acid ABC transporter permease","1","1","1","","","","","","872","872","872","","1a7f36f5a39ec6a4fe158fba3bbbf404_7446",""
"KNN15_09490","","ABC transporter substrate-binding protein","1","1","1","","","","","","1226","1226","1226","","1a7f36f5a39ec6a4fe158fba3bbbf404_7450",""
"TO73_0016","","5-nucleotidase SurE","1","1","1","","","","","","749","749","749","TO73_0016.p01","",""
"KNN15_09540","","alpha/beta hydrolase","1","1","1","","","","","","647","647","647","","1a7f36f5a39ec6a4fe158fba3bbbf404_7490",""
"TO73_0017","","tll2177 protein","1","1","1","","","","","","680","680","680","TO73_0017.p01","",""
"KNN15_09615","","ribbon-helix-helix domain-containing protein","1","1","1","","","","","","200","200","200","","1a7f36f5a39ec6a4fe158fba3bbbf404_7550",""
"TO73_0019","","hypothetical protein","1","1","1","","","","","","1445","1445","1445","TO73_0019.p01","",""
"group_4297","ybeY","rRNA maturation RNase YbeY","1","1","1","","","","","","419","419","419","","1a7f36f5a39ec6a4fe158fba3bbbf404_7606",""
"KNN15_09695","","hypothetical protein","1","1","1","","","","","","404","404","404","","1a7f36f5a39ec6a4fe158fba3bbbf404_7614",""
"TO73_0020","","hypothetical protein","1","1","1","","","","","","113","113","113","TO73_0020.p01","",""
"KNN15_09715","","IMPACT family protein","1","1","1","","","","","","578","578","578","","1a7f36f5a39ec6a4fe158fba3bbbf404_7630",""
"polA","","DNA polymerase I","1","1","1","","","","","","2501","2501","2501","","1a7f36f5a39ec6a4fe158fba3bbbf404_7634",""
"group_4307","amrB","AmmeMemoRadiSam system protein B","1","1","1","","","","","","1130","1130","1130","","1a7f36f5a39ec6a4fe158fba3bbbf404_7658",""
"TO73_0021","","putative tetratricopeptide repeat family protein","1","1","1","","","","","","584","584","584","TO73_0021.p01","",""
"TO73_0022","","protein of unknown function UPF0126","1","1","1","","","","","","596","596","596","TO73_0022.p01","",""
"TO73_0023","","2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase","1","1","1","","","","","","458","458","458","TO73_0023.p01","",""
"KNN15_09900","","hypothetical protein","1","1","1","","","","","","164","164","164","","1a7f36f5a39ec6a4fe158fba3bbbf404_7778",""
"nusB","","transcription antitermination factor NusB","1","1","1","","","","","","455","455","455","","1a7f36f5a39ec6a4fe158fba3bbbf404_7802",""
